#0-rmin 2-rmax 3-e 
6.33133 7.15267 0.0609125 
8.50979 9.70301 0.0655157 
6.31924 6.89879 0.0438459 
5.60726 7.01689 0.111661 
8.04041 11.1396 0.161586 
6.12511 6.91927 0.0608815 
6.49125 8.97799 0.160753 
6.59036 9.39019 0.175202 
6.66305 7.32127 0.0470683 
5.24211 7.53771 0.179627 
7.1407 7.53045 0.0265658 
9.46265 9.95035 0.0251226 
7.25955 9.3747 0.127156 
4.9287 6.92407 0.168346 
7.06283 9.62018 0.153291 
6.75939 7.12841 0.0265714 
3.87471 7.70996 0.331063 
8.97089 11.2259 0.11165 
6.69013 8.97662 0.145946 
3.0501 6.17994 0.339093 
6.75294 8.29423 0.10243 
7.00394 10.5267 0.200947 
5.78926 6.56117 0.0625009 
5.61908 9.28188 0.24581 
7.26095 10.2249 0.169506 
6.11964 8.64212 0.170879 
7.02432 8.95367 0.12075 
7.41326 8.42918 0.0641267 
7.32091 8.99753 0.102744 
5.62516 7.47242 0.141038 
3.90274 6.65043 0.260367 
5.68054 8.07066 0.173812 
5.61116 7.64148 0.153201 
6.85894 7.24003 0.0270299 
6.01995 10.4641 0.269601 
9.24717 9.44496 0.0105813 
8.55479 12.2166 0.17629 
5.9459 7.92608 0.142747 
6.95671 8.06619 0.073852 
6.3897 8.22947 0.125846 
7.11534 8.90567 0.111749 
5.0986 6.11449 0.0905988 
6.58411 7.99808 0.0969655 
8.50901 9.54779 0.0575284 
8.27499 10.8987 0.136837 
5.83783 6.84271 0.0792464 
7.67971 11.3151 0.191388 
4.86982 6.51709 0.144663 
5.74248 7.09326 0.105236 
6.89161 7.65262 0.0523237 
6.09678 8.04006 0.137462 
7.87808 9.20163 0.0774927 
7.24439 8.99361 0.107724 
6.87702 9.2088 0.144959 
6.99221 7.52353 0.0366027 
4.51983 7.11787 0.223243 
5.33931 6.84581 0.123634 
7.66327 15.691 0.343737 
9.49722 10.6807 0.058652 
6.96728 8.55571 0.102328 
6.01271 8.19321 0.153492 
6.46418 7.30395 0.0609937 
6.80262 7.87233 0.0728936 
3.14174 6.45959 0.345561 
3.62402 7.89409 0.370726 
6.18245 8.37394 0.150552 
6.64531 7.53788 0.0629317 
5.08583 6.87743 0.149758 
5.61039 6.83106 0.0981137 
6.38368 7.39737 0.0735567 
6.43292 8.69386 0.149466 
6.93985 9.55153 0.158366 
6.03742 6.60917 0.0452094 
6.40669 8.39938 0.134586 
6.44229 8.64124 0.145785 
6.51847 8.0154 0.102996 
6.09865 10.296 0.256022 
6.29706 7.26988 0.0717053 
5.49707 6.67148 0.0965114 
4.36078 7.27718 0.250594 
6.07742 8.80424 0.183234 
8.26642 10.7745 0.131718 
6.14616 7.06795 0.0697581 
6.66525 8.42099 0.11638 
7.79044 8.98228 0.0710583 
8.98028 11.7298 0.132764 
6.07579 7.21877 0.0859736 
6.41599 9.91278 0.214149 
6.48222 8.01348 0.105635 
6.27827 8.48037 0.149207 
6.83318 11.7758 0.265603 
6.703 7.35983 0.046707 
7.55204 10.7645 0.175386 
5.50426 6.48935 0.0821349 
9.58023 11.3415 0.0841832 
8.3409 10.891 0.132599 
5.1976 6.63793 0.121695 
5.84333 8.42188 0.180758 
5.84949 7.53336 0.125823 
6.08202 6.78778 0.0548378 
5.56479 7.31183 0.135675 
6.32141 7.26804 0.0696595 
7.70264 8.64051 0.0573857 
4.24847 7.61641 0.283858 
5.79397 6.78529 0.0788057 
6.59882 9.80835 0.195618 
7.30668 9.78879 0.145191 
5.62437 6.67952 0.085758 
9.07984 9.56293 0.0259134 
5.96973 7.06631 0.0841187 
7.19512 7.91733 0.0477894 
6.50039 8.51234 0.134016 
7.81039 9.62817 0.104239 
6.6558 8.23009 0.105758 
5.56257 7.26874 0.132969 
4.67765 7.31245 0.219748 
9.55374 13.9619 0.187456 
6.17647 7.20964 0.0771819 
9.82375 19.4219 0.328191 
3.62584 7.71373 0.360498 
4.15618 6.8447 0.244391 
7.80146 8.407 0.0373593 
5.67319 7.49748 0.138512 
4.85192 7.25919 0.198765 
8.58755 10.6196 0.105795 
8.54442 12.7869 0.198885 
5.61454 9.0903 0.236368 
8.49604 9.21803 0.0407576 
4.33613 6.15561 0.17342 
5.6174 8.05232 0.178125 
5.69903 8.70901 0.20891 
5.9574 7.04766 0.0838332 
7.82333 8.15411 0.0207028 
7.45241 14.8443 0.331523 
5.6232 7.90131 0.168443 
4.40819 6.31312 0.177676 
9.05511 17.6129 0.320901 
8.49154 9.52602 0.0574151 
7.97749 11.1421 0.165516 
8.22618 9.6838 0.0813859 
6.27529 7.71348 0.10281 
7.98071 8.94097 0.0567476 
6.83418 10.1238 0.193986 
6.10886 8.96284 0.18936 
8.10691 9.15688 0.0608194 
4.98409 8.25949 0.24732 
6.90033 8.80229 0.121124 
6.07181 8.4316 0.162706 
6.12725 9.78605 0.229921 
7.49913 8.3519 0.0537991 
6.95998 9.40314 0.149309 
8.98561 12.3078 0.156019 
7.17193 8.29627 0.0726874 
6.7808 9.3099 0.157177 
5.61865 6.83162 0.0974254 
5.95609 7.45779 0.111951 
8.53967 10.0513 0.0813103 
7.56126 8.99266 0.0864685 
8.05918 10.1215 0.113435 
5.24874 6.68928 0.120668 
6.23754 7.36498 0.0828849 
6.48379 8.5581 0.137902 
6.69092 8.48517 0.118229 
5.93858 8.18617 0.159125 
3.13896 8.2375 0.448166 
6.68412 8.62931 0.127025 
8.59883 10.1622 0.0833322 
5.98679 8.2138 0.156825 
7.25035 9.9873 0.158777 
